INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
396 FIFTH AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39,3009930039,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/27/2015,988384,183608
365 SOUTH    4 STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3024370025,12/29/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/19/2015,997159,197384
388 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3037040020,12/09/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/29/2015,1013196,185040
145 BRIGHTON   10 STREET,BROOKLYN,13 BROOKLYN,Precinct 60,48,3087070056,12/24/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/20/2015,995700,150602
38 BARROW STREET,MANHATTAN,02 MANHATTAN,Precinct 6,03,1005880032,12/04/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/14/2015,983077,206011
34-48 89 STREET,QUEENS,03 QUEENS,Precinct 115,25,4014490029,12/21/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/10/2015,1017969,213674
3704 WHITE PLAINS ROAD,BRONX,12 BRONX,Precinct 47,12,2046640050,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/14/2015,1021892,260509
3211 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,13,2042450019,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/26/2015,1031409,249654
420 EAST  149 STREET,BRONX,01 BRONX,Precinct 40,08,2022930039,12/16/2014,Closed,Cleaning crew dispatched.  Property cleaned.,06/15/2015,1007371,236420
5501 7 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008340007,12/04/2014,Closed,Cleaning crew dispatched. No graffiti on property.,06/04/2015,981779,172284
508 JUNIUS STREET,BROOKLYN,16 BROOKLYN,Precinct 73,42,3038310025,12/24/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/29/2015,1011715,180437
7124 3 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3058900043,12/24/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/14/2015,976818,170254
156 NAGLE AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10,1021740066,12/02/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/06/2015,1004921,253125
532 5 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39,3010340045,12/15/2014,Closed,Cleaning crew dispatched. No graffiti on property.,04/24/2015,987373,182015
22 FROST STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3027360014,12/03/2014,Closed,Cleaning crew dispatched.  Owner refused.,04/20/2015,997782,200673
2419 JEROME AVENUE,BRONX,07 BRONX,Precinct 52,14,2031990103,12/16/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/17/2015,1011416,253285
280 FLUSHING AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,33,3018780024,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/16/2015,994055,193485
325 SOUNDVIEW AVENUE,BRONX,09 BRONX,Precinct 43,18,2034740064,12/31/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/02/2015,1023943,235197
59-14 99 STREET,QUEENS,04 QUEENS,Precinct 110,21,4019180084,12/29/2014,Closed,Cleaning crew dispatched. No graffiti on property.,03/31/2015,1023239,207772
1415 64 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,38,3057410034,12/01/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/27/2015,984733,166981
1073 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3051650087,12/16/2014,Closed,Cleaning crew dispatched. No graffiti on property.,07/17/2015,995919,174074
1217 CHURCH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3050730037,12/16/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/28/2015,993074,175156
652 FRANKLIN AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,3011490059,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/11/2015,996452,185606
113 5 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39,3009417501,12/10/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/04/2015,990199,186734
504 44 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007390009,12/11/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/27/2015,982464,175441
901 57 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,38,3056870001,12/08/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/17/2015,982793,170870
505 ARGYLE ROAD,BROOKLYN,14 BROOKLYN,Precinct 70,40,3051770058,12/15/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/19/2015,993821,171367
514 60 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3057830011,12/11/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/06/2015,979914,172134
91 WESTCHESTER SQUARE,BRONX,11 BRONX,Precinct 49,13,2053800036,12/17/2014,Closed,Cleaning crew dispatched.  Cannot locate property.,05/21/2015,1028178,245656
3070 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,13,2041960015,12/15/2014,Closed,Cleaning crew dispatched. No graffiti on property.,03/26/2015,1031019,248457
2142 8 AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,09,1018310062,12/02/2014,Open,Site downloaded for cleaning,,996557,232257
332 EAST  209 STREET,BRONX,07 BRONX,Precinct 52,11,,12/18/2014,Open,Property Research Required,,1019028,258704
 317 119 ST,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,12/20/2014,Open,Property Research Required,,,
189 WYONA STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,3037070007,12/04/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/29/2015,1013782,184973
255 WATER STREET,BROOKLYN,02 BROOKLYN,Precinct 84,33,3000320055,12/08/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/26/2015,988742,195402
12 MERCER STREET,MANHATTAN,02 MANHATTAN,Precinct 1,01,1002317502,12/03/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/14/2015,983669,201764
261 LIVINGSTON STREET,BROOKLYN,02 BROOKLYN,Precinct 84,33,3001600036,12/02/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/12/2015,988899,190177
238 JOHNSON AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3030730006,12/03/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/15/2015,1001104,196847
1629 JEROME AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3074600081,12/29/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/30/2015,997417,153231
109 PARK AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3020290058,12/18/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/26/2015,991101,192960
160 CRESCENT STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041180046,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/20/2015,1019534,189048
518 COURT STREET,BROOKLYN,06 BROOKLYN,Precinct 76,39,3003790034,12/26/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/04/2015,984550,185602
113-61 SPRINGFIELD BOULEVARD,QUEENS,13 QUEENS,Precinct 105,27,4112330005,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/04/2015,1056106,195312
215 EAST GUN HILL ROAD,BRONX,07 BRONX,Precinct 52,11,2033440036,12/10/2014,Closed,Cleaning crew dispatched. No graffiti on property.,04/16/2015,1018232,260065
87-43 164 STREET,QUEENS,08 QUEENS,Precinct 107,24,4098360015,12/29/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/14/2015,1039892,197780
693 86 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,43,3060370071,12/07/2014,Closed,Cleaning crew dispatched.  Cannot locate property.,04/02/2015,978080,164825
1883 AMSTERDAM AVENUE,MANHATTAN,09 MANHATTAN,Precinct 30,07,1020680002,12/18/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/01/2015,999800,241822
2410 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,18,2038460006,12/20/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/22/2015,1026749,244257
97-02 CORONA AVENUE,QUEENS,04 QUEENS,Precinct 110,21,4018800001,12/28/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/01/2015,1021303,209949
3544 WHITE PLAINS ROAD,BRONX,12 BRONX,Precinct 47,12,2046570055,12/11/2014,Closed,Cleaning crew dispatched. No graffiti on property.,04/16/2015,1021318,259274
1184 EAST GUN HILL ROAD,BRONX,11 BRONX,Precinct 49,12,2046160042,12/10/2014,Closed,Cleaning crew dispatched. No graffiti on property.,04/15/2015,1024908,257401
3015 ATLANTIC AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3039560028,12/11/2014,Open,Site downloaded for cleaning,,1016659,186455
359 5 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39,3009880009,12/15/2014,Open,Site downloaded for cleaning,,988590,183921
4410 3 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007360044,12/31/2014,Open,Site downloaded for cleaning,,981133,176425
 North east corner of saint nicholas avenue and greene avenue,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,12/29/2014,Open,Property Research Required,,,
4154 EAST TREMONT AVENUE,BRONX,10 BRONX,Precinct 45,13,,12/03/2014,Open,Property Research Required,,1034963,237446
22 NASSAU AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,,12/03/2014,Open,Further research is necessary to identify an owner for the property.,,997096,202619
248 BOWERY,MANHATTAN,02 MANHATTAN,Precinct 5,01,1005070040,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/10/2015,986181,202687
4365 BROADWAY,MANHATTAN,12 MANHATTAN,Precinct 34,10,1021800145,12/02/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/01/2015,1002520,250306
6 CROSBY STREET,MANHATTAN,02 MANHATTAN,Precinct 5,01,1002320021,11/30/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/15/2015,984139,201529
1558 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065630032,12/10/2014,Closed,Cleaning crew dispatched.  Cannot locate property.,05/12/2015,991413,163364
116-28 SPRINGFIELD BOULEVARD,QUEENS,13 QUEENS,Precinct 105,27,4110820020,12/15/2014,Closed,Cleaning crew dispatched.  Owner refused.,05/11/2015,1055415,193291
120 MADISON STREET,BROOKLYN,03 BROOKLYN,Precinct 79,36,3019900030,12/09/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/04/2015,996844,188570
34-39 56 STREET,QUEENS,02 QUEENS,Precinct 108,26,4011950022,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/30/2015,1010466,213355
82-20 BAXTER AVENUE,QUEENS,04 QUEENS,Precinct 110,25,4015050005,12/27/2014,Closed,Cleaning crew dispatched. No graffiti on property.,04/29/2015,1016594,211303
518 EAST  149 STREET,BRONX,01 BRONX,Precinct 40,08,2022750007,12/16/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/17/2015,1007989,236102
18 HERBERT STREET,BROOKLYN,01 BROOKLYN,Precinct 94,34,3027250008,12/01/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/09/2015,999629,201311
4216 PARK AVENUE,BRONX,06 BRONX,Precinct 48,15,2030340052,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/06/2015,1012194,248178
79-14 QUEENS BOULEVARD,QUEENS,04 QUEENS,Precinct 110,25,4024530018,12/30/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/31/2015,1016459,208162
618 LIVONIA AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42,3038220024,12/16/2014,Closed,Cleaning crew dispatched. No graffiti on property.,07/22/2015,1013555,181459
