INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
409 M AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065400049,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/31/2015,992240,163990
361 HOOPER STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3024240021,12/29/2014,Closed,Cleaning crew dispatched.  Cannot locate property.,03/19/2015,997403,197740
466 49 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007830033,12/12/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/01/2015,981315,174691
833 57 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,38,3056860066,12/19/2014,Closed,Cleaning crew dispatched.  Property cleaned.,06/02/2015,982322,171243
471 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3036910028,12/09/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/29/2015,1014096,185222
133 CONCORD STREET,BROOKLYN,02 BROOKLYN,Precinct 84,33,3001070047,12/03/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/26/2015,988091,193454
139 VANDERBILT AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3018870006,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/11/2015,992574,192104
60 GRATTAN STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3030080016,12/30/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/17/2015,1003431,196422
2923 EAST TREMONT AVENUE,BRONX,11 BRONX,Precinct 49,13,2053800027,12/17/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/21/2015,1028369,245612
625 LYDIG AVENUE,BRONX,11 BRONX,Precinct 49,13,2043170082,12/04/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/07/2015,1020613,250584
1617 SHEEPSHEAD BAY ROAD,BROOKLYN,15 BROOKLYN,Precinct 61,48,,12/29/2014,Open,Property Research Required,,997405,153105
410 EAST  189 STREET,BRONX,06 BRONX,Precinct 48,15,2030320033,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/18/2015,1014057,252754
4202 18 AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,44,3054090030,12/17/2014,Closed,Cleaning crew dispatched.  Owner refused.,05/18/2015,991100,169397
453 20 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008880064,12/12/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/01/2015,988312,178788
276 WEST  125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,09,1019300001,12/02/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/07/2015,997948,234346
113 LOMBARDY STREET,BROOKLYN,01 BROOKLYN,Precinct 94,34,3028190031,12/01/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/30/2015,1001901,202623
24-22 49 STREET,QUEENS,01 QUEENS,Precinct 114,22,4007460063,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/30/2015,1011153,218592
23-25 31 STREET,QUEENS,01 QUEENS,Precinct 114,22,4008350027,12/08/2014,Closed,Cleaning crew dispatched. No graffiti on property.,04/10/2015,1008188,221193
638 EAST  169 STREET,BRONX,03 BRONX,Precinct 42,16,2026150034,12/02/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/06/2015,1011706,242039
1400 CASTLEHILL AVENUE,BRONX,10 BRONX,Precinct 45,18,2039660001,12/03/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/02/2015,1025182,243793
3411 GUIDER AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3088107503,12/31/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/22/2015,995748,151642
2719 ATLANTIC AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3036730043,12/04/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/21/2015,1013696,185595
701 FLATBUSH AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3050480006,12/11/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/08/2015,995363,178284
113-06 SUTPHIN BOULEVARD,QUEENS,12 QUEENS,Precinct 113,28,4119660010,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/30/2015,1041300,189560
540 JACKSON AVENUE,BRONX,01 BRONX,Precinct 40,08,2025790019,12/16/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/17/2015,1009379,235412
940 ATLANTIC AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,3011240019,12/11/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/01/2015,994511,187316
205 M AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065380053,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/31/2015,991719,163914
7503 13 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3062220008,12/07/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/27/2015,982162,165232
1416 GLOVER STREET,BRONX,10 BRONX,Precinct 45,18,2039690017,12/20/2014,Closed,Cleaning crew dispatched. No graffiti on property.,07/14/2015,1026152,243890
582 ASHFORD STREET,BROOKLYN,05 BROOKLYN,Precinct 75,42,3040790034,12/24/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/29/2015,1016561,182523
1410 ROWLAND STREET,BRONX,10 BRONX,Precinct 45,13,2039740004,12/20/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/21/2015,1026911,244588
460 60 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3057820029,12/22/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/13/2015,979505,172456
1280 GUNHILL ROAD,BRONX,11 BRONX,Precinct 49,12,2045880055,12/10/2014,Closed,Cleaning crew dispatched.  Owner refused.,04/16/2015,1025909,256978
97-03 SPRINGFIELD BOULEVARD,QUEENS,13 QUEENS,Precinct 105,27,4107830024,12/15/2014,Open,Site downloaded for cleaning,,1057594,200629
2416 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10,1021520046,12/02/2014,Open,Site downloaded for cleaning,,1003210,247994
122 WESTCHESTER SQUARE,BRONX,05 BRONX,Precinct 46,15,2038590011,12/20/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/21/2015,1011629,248134
110 LAWRENCE STREET,BROOKLYN,02 BROOKLYN,Precinct 84,33,3001470004,12/16/2014,Closed,Cleaning crew dispatched.  Cannot locate property.,05/12/2015,988068,191803
1056 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3051250072,12/23/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/07/2015,995894,174337
2430 DAVIDSON AVENUE,BRONX,07 BRONX,Precinct 52,14,2031990076,12/02/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/15/2015,1011160,253399
1704 FLATBUSH AVENUE,BROOKLYN,18 BROOKLYN,Precinct 63,45,3075970052,12/03/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/18/2015,999923,168410
233 PROSPECT PARK WEST,BROOKLYN,07 BROOKLYN,Precinct 72,39,3011100001,12/12/2014,Closed,Graffiti is intentional.,01/20/2015,989580,179690
176 GRAND STREET,MANHATTAN,02 MANHATTAN,Precinct 5,01,1004710025,12/12/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/15/2015,984846,201417
95 ALLEN STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1004140023,12/14/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/09/2015,986822,201068
500 WEST  178 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,10,1021320037,12/19/2014,Closed,Cleaning crew dispatched. No graffiti on property.,07/06/2015,1002912,247592
266 WEST  134 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,09,1019390061,12/06/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/06/2015,999200,236347
625 CRESCENT AVENUE,BRONX,06 BRONX,Precinct 48,15,2030740013,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/28/2015,1015408,250372
2120 GLEBE AVENUE,BRONX,10 BRONX,Precinct 45,18,2039640004,12/20/2014,Closed,Cleaning crew dispatched. No graffiti on property.,07/14/2015,1025671,243521
4467 PARK AVENUE,BRONX,06 BRONX,Precinct 48,15,2030300061,12/10/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/15/2015,1013013,250376
241 60 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008610061,12/03/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/11/2015,978192,173507
4818 7 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007760042,12/11/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/07/2015,982885,173690
23-58 83 STREET,QUEENS,03 QUEENS,Precinct 115,22,4010770034,11/30/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/10/2015,1015754,218243
251-33 57 AVENUE,QUEENS,11 QUEENS,Precinct 111,23,4083400056,12/15/2014,Closed,Cleaning crew dispatched. No graffiti on property.,04/09/2015,1059388,216840
3801 CANNON PLACE,BRONX,08 BRONX,Precinct 50,11,2032630149,12/28/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/06/2015,1012680,260790
175 SPRING STREET,MANHATTAN,02 MANHATTAN,Precinct 1,01,1005020042,12/22/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/10/2015,983571,203344
605 SIXTH AVENUE,MANHATTAN,04 MANHATTAN,Precinct 13,03,1007937507,12/02/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/14/2015,985577,208736
3209 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,13,2042450020,12/15/2014,Closed,Cleaning crew dispatched. No graffiti on property.,03/26/2015,1031399,249645
2196 MATTHEWS AVENUE,BRONX,11 BRONX,Precinct 49,13,2043230035,12/04/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/19/2015,1022187,251303
2009 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10,1021090005,12/19/2014,Open,Site downloaded for cleaning,,1000616,243296
1806 WESTCHESTER AVENUE,BRONX,09 BRONX,Precinct 43,18,2037640035,12/04/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/22/2015,1021330,242413
357 EAST  145 STREET,BRONX,01 BRONX,Precinct 40,08,2023070001,12/05/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/26/2015,1006155,235862
284 BROOME STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1004140028,12/16/2014,Closed,Cleaning crew dispatched. No graffiti on property.,07/29/2015,986621,201046
124 FORSYTH STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1004190048,12/21/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/10/2015,986369,201352
5012 8 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007940043,12/06/2014,Closed,Cleaning crew dispatched.  Property cleaned.,06/04/2015,983180,172806
113-17 SUTPHIN BOULEVARD,QUEENS,12 QUEENS,Precinct 113,28,4121690002,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/13/2015,1041315,189547
118-01 SUTPHIN BOULEVARD,QUEENS,12 QUEENS,Precinct 113,28,4122050006,12/05/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/04/2015,1041988,186972
44-16 BROADWAY,QUEENS,01 QUEENS,Precinct 114,26,4007070041,12/15/2014,Closed,Cleaning crew dispatched. No graffiti on property.,04/30/2015,1007632,215217
469 EAST  155 STREET,BRONX,01 BRONX,Precinct 40,17,2023770057,12/05/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/17/2015,1008097,237906
6924 13 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3061550049,12/07/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/27/2015,983115,166445
153-31 73 AVENUE,QUEENS,08 QUEENS,Precinct 107,24,4068030002,12/26/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/28/2015,1035879,204112
1 BRIGHTON   10 PATH,BROOKLYN,13 BROOKLYN,Precinct 60,48,3087020044,12/31/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/22/2015,995475,151023
32 HILL STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041660014,12/26/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/20/2015,1019782,186576
86-29 59 AVENUE,QUEENS,04 QUEENS,Precinct 110,25,4028720041,12/14/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/30/2015,1019231,205787
2901 WHITE PLAINS ROAD,BRONX,11 BRONX,Precinct 49,15,2045420001,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/18/2015,1020957,255550
3230 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,13,2042390001,12/15/2014,Closed,Cleaning crew dispatched.  Cannot locate property.,05/20/2015,1031559,249751
3855 WHITE PLAINS ROAD,BRONX,12 BRONX,Precinct 47,12,2046560049,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/15/2015,1022418,261780
99 COOPER STREET,BROOKLYN,04 BROOKLYN,Precinct 83,37,3034330037,12/04/2014,Closed,Cleaning crew dispatched.  Cannot locate property.,04/13/2015,1009511,189291
1989 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,07,1021080077,12/18/2014,Open,Site downloaded for cleaning,,1000478,243049
1865 AMSTERDAM AVENUE,MANHATTAN,09 MANHATTAN,Precinct 30,07,1020670001,12/18/2014,Open,Site downloaded for cleaning,,999705,241651
3006 BUHRE AVENUE,BRONX,10 BRONX,Precinct 45,13,2041700031,12/15/2014,Open,Site downloaded for cleaning,,1030740,247947
2914 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,13,2041630014,12/15/2014,Open,Site downloaded for cleaning,,1030431,247682
35 35 AVENUE,QUEENS,11 QUEENS,Precinct 111,19,,11/30/2014,Open,Property Research Required,,1052772,221624
41 johnson av,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,12/03/2014,Open,Further research is necessary to identify an owner for the property.,,,
10 JAVA STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3025430001,12/03/2014,Closed,Cleaning crew dispatched. No graffiti on property.,04/23/2015,995087,205604
992 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3051250015,12/16/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/21/2015,995867,175050
653 MELROSE AVENUE,BRONX,01 BRONX,Precinct 40,17,2023990024,12/02/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/26/2015,1007317,237503
95-14 SUTPHIN BOULEVARD,QUEENS,12 QUEENS,Precinct 103,28,4100260012,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/30/2015,1037944,193717
811 TRINITY AVENUE,BRONX,01 BRONX,Precinct 40,17,2026300028,12/11/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/17/2015,1009965,238147
8150 NEW UTRECHT AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43,3063140010,12/13/2014,Closed,Cleaning crew dispatched. No graffiti on property.,04/01/2015,983801,161523
141 WYONA STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,3036900007,12/04/2014,Closed,Cleaning crew dispatched. No graffiti on property.,03/17/2015,1013692,185431
23 MONTAUK AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3039760024,12/30/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/16/2015,1017796,186563
681 FIFTH AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008910006,12/15/2014,Closed,Cleaning crew dispatched. No graffiti on property.,04/23/2015,986159,180324
303 LIVINGSTON STREET,BROOKLYN,02 BROOKLYN,Precinct 84,33,3001610055,12/02/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/22/2015,989323,189961
500 HERZL STREET,BROOKLYN,16 BROOKLYN,Precinct 73,42,3036090001,12/24/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/29/2015,1008519,178879
530 EAST   13 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004060021,12/30/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/29/2015,989788,205003
83-11 37 AVENUE,QUEENS,03 QUEENS,Precinct 115,25,4014570034,12/03/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/13/2015,1016619,212498
6920 13 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3061550048,12/07/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/27/2015,983120,166451
566 FLATBUSH AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3050260096,12/11/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/25/2015,995181,179699
1211 FOSTER AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3052330025,12/16/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/25/2015,993828,169870
681 FLATBUSH AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3050450002,12/11/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/18/2015,995325,178488
3A MASPETH AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,34,3028920040,01/01/2015,Closed,Cleaning crew dispatched.  Property cleaned.,05/07/2015,1000172,199735
4801 WHITE PLAINS ROAD,BRONX,12 BRONX,Precinct 47,11,2051090012,12/03/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/07/2015,1025895,269334
2155 BOLTON STREET,BRONX,11 BRONX,Precinct 49,13,2043170048,12/04/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/19/2015,1020575,250835
2917 EAST TREMONT AVENUE,BRONX,11 BRONX,Precinct 49,13,2053800025,12/17/2014,Open,Site downloaded for cleaning,,1028338,245606
1604 clarendon rd,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,12/24/2014,Open,Further research is necessary to identify an owner for the property.,,,
19-53 46 STREET,QUEENS,01 QUEENS,Precinct 114,22,4007740010,12/18/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/28/2015,1012779,221568
438 WESTCHESTER AVENUE,BRONX,01 BRONX,Precinct 40,17,2022940032,12/05/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/17/2015,1007687,236711
3057 CONEY ISLAND AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,48,3087020092,12/31/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/30/2015,995395,151071
2395 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,18,2039730003,12/20/2014,Closed,Cleaning crew dispatched.  Owner refused.,03/24/2015,1026790,244310
5001 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007910010,12/12/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/01/2015,980738,174771
795 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3050830014,12/16/2014,Closed,Cleaning crew dispatched. No graffiti on property.,07/21/2015,995519,177290
581 GLENMORE AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3039800036,12/05/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/27/2015,1015122,184954
995 FLUSHING AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3031240012,12/03/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/14/2015,1002875,195453
5223 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008070001,12/12/2014,Closed,Cleaning crew dispatched.  Owner refused.,05/06/2015,980389,174330
3295 FULTON STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041290065,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/16/2015,1019263,188214
545 BRADFORD STREET,BROOKLYN,05 BROOKLYN,Precinct 75,42,3038100001,12/17/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/29/2015,1014665,181799
259 73 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,43,3059070055,12/24/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/14/2015,976368,169941
936 EAST  167 STREET,BRONX,02 BRONX,Precinct 41,17,2027260035,12/04/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/27/2015,1013799,240481
85-10 151 AVENUE,QUEENS,10 QUEENS,Precinct 106,32,4114310015,12/04/2014,Closed,Cleaning crew dispatched.  Owner refused.,03/25/2015,1026039,182769
1415 PARKER STREET,BRONX,10 BRONX,Precinct 45,18,2039690052,12/20/2014,Closed,Cleaning crew dispatched. No graffiti on property.,03/24/2015,1026396,244077
139 DYCKMAN STREET,MANHATTAN,12 MANHATTAN,Precinct 34,10,1022200050,12/02/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/06/2015,1004827,253688
61 DELANCY STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1004140018,12/18/2014,Open,Site downloaded for cleaning,,986765,201362
331 CRESCENT STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041670001,12/10/2014,Open,Site downloaded for cleaning,,1019924,187411
1741 PILGRIM AVENUE,BRONX,10 BRONX,Precinct 45,13,2041620041,12/15/2014,Open,Site downloaded for cleaning,,1030323,247678
 333 119 ST,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,12/20/2014,Open,Property Research Required,,,
E.188 E.167 st,BRONX,Unspecified BRONX,Unspecified,,,12/01/2014,Open,Further research is necessary to identify an owner for the property.,,,
97 GREEN STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3025120001,12/03/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/23/2015,996032,206513
68 NEW LOTS AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,42,3038610006,12/24/2014,Closed,Cleaning crew dispatched.  Owner refused.,05/29/2015,1011271,178868
130 WESTCHESTER SQUARE,BRONX,10 BRONX,Precinct 45,13,2038570001,12/17/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/21/2015,1027695,245295
340 LIVINGSTON STREET,BROOKLYN,02 BROOKLYN,Precinct 84,33,3001670003,12/02/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/05/2015,989477,189876
464 U AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,47,3071310010,12/31/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/17/2015,993309,157006
355 GRAND STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003100020,12/05/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/13/2015,987223,200404
1082 SOUTHERN BOULEVARD,BRONX,02 BRONX,Precinct 41,17,2027440010,12/31/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/22/2015,1014164,240065
2426 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,18,2038460014,12/20/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/21/2015,1026805,244318
2350 BROADWAY,MANHATTAN,07 MANHATTAN,Precinct 20,06,1012330016,01/01/2015,Closed,Cleaning crew dispatched.  Property cleaned.,05/20/2015,990700,226388
235 65 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3058160063,12/31/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/13/2015,977332,172503
205 PARKSIDE AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3050260302,12/16/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/06/2015,995079,178001
2372 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10,1021320040,12/02/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/06/2015,1002919,247467
358 LIVINGSTON STREET,BROOKLYN,02 BROOKLYN,Precinct 84,33,3001670016,12/02/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/05/2015,989562,189833
8020 NEW UTRECHT AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43,3062840079,12/19/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/04/2015,983930,162102
187-42 HILLSIDE AVENUE,QUEENS,12 QUEENS,Precinct 103,27,4099360031,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/30/2015,1046846,199835
948 PROSPECT AVENUE,BRONX,02 BRONX,Precinct 41,17,2026900100,12/16/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/27/2015,1011812,238971
245 EAST GUNHILL ROAD,BRONX,07 BRONX,Precinct 52,11,2033440076,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/16/2015,1018493,259902
7002 3 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3058860036,12/16/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/07/2015,976912,170537
4702 7 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007670038,12/11/2014,Closed,Cleaning crew dispatched.  Owner refused.,04/02/2015,983065,173917
155 PROSPECT PARK SOUTH WEST,BROOKLYN,07 BROOKLYN,Precinct 72,39,3052680094,12/30/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/26/2015,991639,177901
1681 FLATBUSH AVENUE,BROOKLYN,18 BROOKLYN,Precinct 63,45,3075970075,12/03/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/25/2015,999848,168513
3294 HULL AVENUE,BRONX,07 BRONX,Precinct 52,11,2033510033,12/18/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/23/2015,1018911,258628
131 NEPTUNE AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,48,3088120110,12/31/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/20/2015,995820,151429
3042 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,13,2041960005,12/15/2014,Closed,Cleaning crew dispatched.  Owner refused.,07/14/2015,1030930,248268
177 LIVINGSTON STREET,BROOKLYN,02 BROOKLYN,Precinct 84,33,3001567501,12/02/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/05/2015,987938,190669
1154 EAST GUNHILL ROAD,BRONX,11 BRONX,Precinct 49,12,2046160036,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/16/2015,1024797,257446
3415 COLDEN AVENUE,BRONX,12 BRONX,Precinct 47,12,2046350037,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/15/2015,1023178,257896
707 7 av,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,12/12/2014,Open,Further research is necessary to identify an owner for the property.,,,
508 MORGAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,34,3028420006,12/03/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/01/2015,1001332,202110
1701 SHEEPSHEAD BAY ROAD,BROOKLYN,15 BROOKLYN,Precinct 61,48,3087720104,12/29/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/22/2015,997643,152698
3190 WEBSTER AVENUE,BRONX,07 BRONX,Precinct 52,11,2033570055,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/13/2015,1018848,257356
124-20 SOUTH CONDUIT AVENUE,QUEENS,10 QUEENS,Precinct 106,28,4118930019,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/26/2015,1035168,181664
148 CLASSON AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3018950042,12/11/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/23/2015,994946,192651
426 EAST  149 STREET,BRONX,01 BRONX,Precinct 40,08,2022930041,12/16/2014,Closed,Cleaning crew dispatched.  Property cleaned.,06/15/2015,1007397,236405
9015 5 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3060880015,12/31/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/14/2015,976388,164805
