POLICE_PRECINCT,CREATED_DATE
Precinct 71,12/16/2014
Precinct 33,12/02/2014
Precinct 84,12/02/2014
Precinct 62,12/19/2014
Precinct 103,12/15/2014
Precinct 41,12/16/2014
Precinct 52,12/10/2014
Precinct 68,12/16/2014
Precinct 72,12/11/2014
Precinct 72,12/30/2014
Precinct 63,12/03/2014
Precinct 52,12/18/2014
Precinct 60,12/31/2014
Precinct 45,12/15/2014
Precinct 84,12/02/2014
Precinct 49,12/10/2014
Precinct 47,12/10/2014
Unspecified,12/12/2014
Precinct 94,12/03/2014
Precinct 61,12/29/2014
Precinct 52,12/10/2014
Precinct 106,12/15/2014
Precinct 88,12/11/2014
Precinct 40,12/16/2014
Precinct 68,12/31/2014
Precinct 75,12/04/2014
Precinct 68,12/22/2014
Precinct 113,12/15/2014
Precinct 103,12/15/2014
Precinct 61,12/31/2014
Precinct 108,12/19/2014
Precinct 49,12/04/2014
Precinct 47,12/10/2014
Precinct 47,12/03/2014
Precinct 63,12/19/2014
Precinct 48,12/02/2014
Precinct 5,12/09/2014
Precinct 69,12/19/2014
Precinct 45,12/20/2014
Precinct 40,12/16/2014
Precinct 68,12/25/2014
Precinct 33,12/19/2014
Precinct 72,12/06/2014
Precinct 66,12/12/2014
Precinct 75,12/16/2014
Precinct 70,12/16/2014
Precinct 50,12/11/2014
Precinct 68,12/17/2014
Precinct 68,12/21/2014
Precinct 79,12/20/2014
Precinct 104,12/08/2014
Precinct 61,12/29/2014
Precinct 61,12/29/2014
Precinct 32,12/26/2014
Precinct 17,12/16/2014
Precinct 72,12/11/2014
Precinct 109,12/08/2014
Precinct 68,12/02/2014
Precinct 45,12/15/2014
Precinct 45,12/15/2014
Precinct 78,12/05/2014
Precinct 108,12/01/2014
Precinct 45,12/15/2014
Precinct 61,12/29/2014
Unspecified,12/04/2014
Unspecified,12/05/2014
Precinct 72,12/10/2014
Precinct 61,12/30/2014
Precinct 102,12/18/2014
Precinct 40,12/16/2014
Precinct 111,12/19/2014
Precinct 63,12/23/2014
Precinct 45,12/20/2014
Precinct 33,12/18/2014
Precinct 75,12/02/2014
Precinct 61,12/29/2014
Precinct 45,12/20/2014
Precinct 9,12/16/2014
Precinct 66,12/11/2014
Precinct 61,12/29/2014
Precinct 61,12/29/2014
Precinct 45,12/20/2014
Precinct 48,12/10/2014
Precinct 45,12/17/2014
Precinct 48,12/06/2014
Precinct 47,12/10/2014
Precinct 47,12/10/2014
Precinct 45,12/15/2014
Precinct 47,12/10/2014
Unspecified,12/04/2014
Precinct 45,12/20/2014
Precinct 66,12/11/2014
Precinct 32,12/27/2014
Precinct 14,12/17/2014
Precinct 33,12/02/2014
Precinct 61,12/29/2014
Precinct 88,12/11/2014
Precinct 105,12/15/2014
Precinct 72,12/30/2014
Precinct 75,12/03/2014
Precinct 94,12/13/2014
Precinct 110,12/22/2014
Precinct 45,12/15/2014
Precinct 94,12/15/2014
Precinct 40,12/16/2014
Precinct 48,12/08/2014
Precinct 44,12/05/2014
Precinct 40,12/16/2014
Precinct 115,12/26/2014
Precinct 63,12/03/2014
Precinct 72,12/15/2014
Precinct 9,12/30/2014
Precinct 45,12/20/2014
Precinct 60,12/31/2014
Precinct 40,12/16/2014
Precinct 114,12/18/2014
Precinct 43,12/29/2014
Precinct 62,12/29/2014
Precinct 78,12/10/2014
Precinct 94,12/04/2014
Precinct 48,12/10/2014
Precinct 72,12/12/2014
Precinct 78,12/30/2014
Precinct 45,12/15/2014
Precinct 49,12/04/2014
Precinct 75,12/10/2014
Precinct 40,12/16/2014
Precinct 105,12/15/2014
Precinct 72,12/22/2014
Precinct 10,12/04/2014
Precinct 61,12/29/2014
